id,observed_on,user_id,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name,field:eventid,field:field id,field:bin
9488743,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488743,https://static.inaturalist.org/photos/12920324/medium.jpg?1516066422,"banded abdomen, elongate, red eyes
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Melanostoma bituberculatum,Melanostoma bituberculatum,,Insecta,627712,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Melanostoma,Melanostoma bituberculatum,,CVB_02,XMAD_023,BOLD:ADD9830
9488744,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488744,https://static.inaturalist.org/photos/12920333/medium.jpg?1516066453,"has green halteres, striped abdomen
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Melanostoma bituberculatum,Melanostoma bituberculatum,,Insecta,627712,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Melanostoma,Melanostoma bituberculatum,,CVB_02,XMAD_024,
9488745,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488745,https://static.inaturalist.org/photos/12920374/medium.jpg?1516066529,"beetle thing?
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Lagria villosa,Lagria villosa,,Insecta,505179,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Lagria,Lagria villosa,,CVB_02,XMAD_025,BOLD:AAQ1342
9488747,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488747,https://static.inaturalist.org/photos/12920397/medium.jpg?1516066588,"ant
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Carpenter and Sugar Ants,Camponotus,Carpenter Ants,Insecta,62781,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,,CVB_02,XMAD_026,BOLD:AAB4071
9488748,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488748,https://static.inaturalist.org/photos/12920426/medium.jpg?1516066667,"leafhopper - mottled brown/organge/gold
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Typical Leafhoppers,Demadana flavosparsa,,Insecta,851646,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Demadana,Demadana flavosparsa,,CVB_02,XMAD_027,BOLD:ADH8064
9488749,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488749,https://static.inaturalist.org/photos/12920443/medium.jpg?1516066748,"red weevil with black head
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",4,0,-21.254069,47.421911,Cybebus,Cybebus,,Insecta,497569,Animalia,Arthropoda,Insecta,Coleoptera,Brentidae,Cybebus,,,CVB_02,XMAD_028,BOLD:ADH9640
9488750,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488750,https://static.inaturalist.org/photos/12920467/medium.jpg?1516066852,"plume moth, mottled brown
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Geranium Plume Moth,Sphenarches anisodactylus,,Insecta,134123,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Sphenarches,Sphenarches anisodactylus,,CVB_02,XMAD_029,BOLD:ACV3051
9488751,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488751,https://static.inaturalist.org/photos/12920489/medium.jpg?1516066901,"black caterpillar w whitish spots toward posterior, black hair, orange head
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Darantasia,Darantasia,,Insecta,538927,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Darantasia,,,CVB_02,XMAD_030,BOLD:ADH9556
9488752,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488752,https://static.inaturalist.org/photos/12920505/medium.jpg?1516066979,"large yellowish/white body, blueish head
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Cicadellidae,Cicadellidae,Typical Leafhoppers,Insecta,53237,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,CVB_02,XMAD_031,BOLD:ADH7316
9488753,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488753,https://static.inaturalist.org/photos/12920627/medium.jpg?1516067406,"black beetle with red mites (XMAD_033)
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Lagria villosa,Lagria villosa,,Insecta,505179,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Lagria,Lagria villosa,,CVB_02,XMAD_032,BOLD:AAQ1342
9488755,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488755,https://static.inaturalist.org/photos/12920651/medium.jpg?1516067503,"reddish mite, voucher is morph-voucher (2 on XMAD_032
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Mites and Ticks,Acari,Mites and Ticks,Arachnida,52788,Animalia,Arthropoda,Arachnida,,,,,,CVB_02,XMAD_033,BOLD:ADI0970
9488756,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488756,https://static.inaturalist.org/photos/12920706/medium.jpg?1516067711,"green cricket
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Gryllidae,Gryllidae,True Crickets,Insecta,52884,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,CVB_02,XMAD_034,BOLD:ADI1232
9488757,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488757,https://static.inaturalist.org/photos/12920723/medium.jpg?1516067768,"brown cricket
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Gryllidae,Gryllidae,True Crickets,Insecta,52884,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,,,,CVB_02,XMAD_035,BOLD:ADH8269
9488758,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488758,https://static.inaturalist.org/photos/12920738/medium.jpg?1516067827,"David's leech
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Malagabdella niarchosorum,Malagabdella niarchosorum,,Animalia,627715,Animalia,Annelida,Clitellata,Arhynchobdellida,Haemadipsidae,Malagabdella,Malagabdella niarchosorum,,CVB_03,XMAD_036,BOLD:ACB6521
9488759,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488759,https://static.inaturalist.org/photos/12921379/medium.jpg?1516069941,"low spire snail
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Asian Tramp Snail,Bradybaena similaris,Asian Tramp Snail,Mollusca,215409,Animalia,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Bradybaena,Bradybaena similaris,,CVB_02,XMAD_037,BOLD:ACL6736
9488760,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488760,https://static.inaturalist.org/photos/12920824/medium.jpg?1516067991,"small brown spider with boxing glove palps
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Argyrodes zonatus,Argyrodes zonatus,Silver Argyrodes Dew-Drop Spider,Arachnida,627717,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Argyrodes,Argyrodes zonatus,,CVB_02,XMAD_038,BOLD:ACQ7026
9488762,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488762,https://static.inaturalist.org/photos/12920857/medium.jpg?1516068076,"yellow and black legs
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Nephilingis livida,Nephilingis livida,Madagascar Hermit Spider,Arachnida,485722,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephilingis,Nephilingis livida,,CVB_02,XMAD_039,BOLD:ACQ4246
9488763,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488763,https://static.inaturalist.org/photos/12920877/medium.jpg?1516068144,"odd gray, bumpy weevil, lemur collecting
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.2340333,47.3964333,True Weevils,Curculionidae,True Weevils,Insecta,48736,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,,,,CVB_04,XMAD_040,BOLD:ADH9766
9488764,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488764,https://static.inaturalist.org/photos/12920895/medium.jpg?1516068263,"big light speckeled abdomen, banded legs
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Nephilingis livida,Nephilingis livida,Madagascar Hermit Spider,Arachnida,485722,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephilingis,Nephilingis livida,,CVB_02,XMAD_041,BOLD:ACQ4246
9488766,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488766,https://static.inaturalist.org/photos/12920916/medium.jpg?1516068315,"darker, possbily same as XMAD_041
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Nephilingis livida,Nephilingis livida,Madagascar Hermit Spider,Arachnida,485722,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephilingis,Nephilingis livida,,CVB_02,XMAD_042,BOLD:ACQ4246
9488767,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488767,https://static.inaturalist.org/photos/12920965/medium.jpg?1516068533,"irredescent silver and black long abdomen, orchard spider?
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Leucauge,Leucauge,orchard spider and allies,Arachnida,53466,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,,,CVB_02,XMAD_043,BOLD:AAG8516
9488769,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488769,https://static.inaturalist.org/photos/12921063/medium.jpg?1516068910,"flattened, quick spider, under rocks, like Petrolisthes
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Trochanteriidae,Trochanteriidae,trochanteriid spiders,Arachnida,120292,Animalia,Arthropoda,Arachnida,Araneae,Trochanteriidae,,,,CVB_02,XMAD_044,BOLD:ADH7423
9488770,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488770,https://static.inaturalist.org/photos/12921086/medium.jpg?1516069032,"black/orange/white caterpillar, black spines
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Common Mimic Acraea,Acraea encedon encedon,Common Mimic Acraea,Insecta,340845,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Acraea,Acraea encedon,Acraea encedon encedon,CVB_02,XMAD_045,BOLD:AAC4394
9488771,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488771,https://static.inaturalist.org/photos/12921101/medium.jpg?1516069109,"black and white moth
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Cleora legrasi,Cleora legrasi,,Insecta,627718,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cleora,Cleora legrasi,,CVB_02,XMAD_046,BOLD:AAE2433
9488772,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488772,https://static.inaturalist.org/photos/12921114/medium.jpg?1516069157,"Pokemon caterpillar, 4 horns, green
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Charaxes antamboulou,Charaxes antamboulou,Madagascar Green-veined Charaxes,Insecta,357193,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Charaxes,Charaxes antamboulou,,CVB_02,XMAD_047,BOLD:AAC4995
9488773,5/24/2016,175394,needs_id,https://www.inaturalist.org/observations/9488773,https://static.inaturalist.org/photos/12921159/medium.jpg?1516069274,"hunchback bush cricket
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Tettigoniidae,Tettigoniidae,Katydids,Insecta,48124,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,,,CVB_02,XMAD_048,BOLD:ADH7540
9488774,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488774,https://static.inaturalist.org/photos/12921198/medium.jpg?1516069396,"classic praying mantis
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Flag Mantis,Polyspilota aeruginosa,Flag Mantis,Insecta,354393,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Polyspilota,Polyspilota aeruginosa,,CVB_02,XMAD_049,BOLD:ACG6150
9488776,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488776,https://static.inaturalist.org/photos/12921227/medium.jpg?1516069493,"large deltoid abdomen, 4 spots 
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Nephilingis livida,Nephilingis livida,Madagascar Hermit Spider,Arachnida,485722,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephilingis,Nephilingis livida,,CVB_02,XMAD_050,BOLD:ACQ4246
9488777,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488777,https://static.inaturalist.org/photos/12921237/medium.jpg?1516069537,"large funnel web weaver
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Nephilingis livida,Nephilingis livida,Madagascar Hermit Spider,Arachnida,485722,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephilingis,Nephilingis livida,,CVB_02,XMAD_051,BOLD:ACQ4246
9488778,5/24/2016,175394,research,https://www.inaturalist.org/observations/9488778,https://static.inaturalist.org/photos/12921275/medium.jpg?1516069667,"large funnel web weaver
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Nephilingis livida,Nephilingis livida,Madagascar Hermit Spider,Arachnida,485722,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephilingis,Nephilingis livida,,CVB_02,XMAD_052,BOLD:ACQ4246
9488781,5/25/2016,175394,research,https://www.inaturalist.org/observations/9488781,https://static.inaturalist.org/photos/12921303/medium.jpg?1516069724,"green day gecko
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",3,0,-21.254069,47.421911,Peacock Day Gecko,Phelsuma quadriocellata,Peacock Day Gecko,Reptilia,34023,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma quadriocellata,,CVB_05,XMAD_053,
9488782,5/25/2016,175394,research,https://www.inaturalist.org/observations/9488782,https://static.inaturalist.org/photos/12921411/medium.jpg?1516069993,"big nosed chameleon
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Calumma tjiasmantoi,Calumma tjiasmantoi,Ranomafana Nosed Chameleon,Reptilia,1119976,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Calumma,Calumma tjiasmantoi,,CVB_05,XMAD_054,
9488783,5/25/2016,175394,needs_id,https://www.inaturalist.org/observations/9488783,https://static.inaturalist.org/photos/12921426/medium.jpg?1516070068,"splayed winged moth from buidling wall, white and yellow underside
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Pingasa grandidieri,Pingasa grandidieri,,Insecta,627719,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pingasa,Pingasa grandidieri,,CVB_05,XMAD_055,BOLD:AAL4025
9488785,5/25/2016,175394,needs_id,https://www.inaturalist.org/observations/9488785,https://static.inaturalist.org/photos/12921446/medium.jpg?1516070142,"brown grasshopper
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Catantopinae,Catantopinae,Spur-throated Grasshoppers,Insecta,437924,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,CVB_05,XMAD_056,
9488786,5/25/2016,175394,research,https://www.inaturalist.org/observations/9488786,https://static.inaturalist.org/photos/12921460/medium.jpg?1516070216,"green grasshopper with black and yellow stripe on top
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Tricolor Grasshopper,Paracinema tricolor,Tricolor Grasshopper,Insecta,472970,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Paracinema,Paracinema tricolor,,CVB_05,XMAD_057,BOLD:ACT7979
