id,observed_on,user_id,quality_grade,url,image_url,description,place_guess,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
34691,2010-12-05,3184,needs_id,http://www.inaturalist.org/observations/34691,https://static.inaturalist.org/photos/58952/medium.jpg,"","Vohiparara, Ranomafana National Park",-21.2368583987,47.3938071728,,,false,Gephyromantis,,Animalia,Chordata,Amphibia,Anura,Mantellidae,Gephyromantis,,
34692,2010-12-05,3184,research,http://www.inaturalist.org/observations/34692,https://static.inaturalist.org/photos/58953/medium.jpg,Found under my upturned plate at first meal at the Vohipara campsite.,"Fianarantsoa, MG",-21.2547246176,47.3047934524,,obscured,true,Boophis elenae,Elena's Bright-eyed Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Boophis,Boophis elenae,
34693,2007-01-20,3184,research,http://www.inaturalist.org/observations/34693,https://static.inaturalist.org/photos/58954/medium.jpg,Our guide told us this was Mantella baroni,"Ranomafana National Park, Madagascar",-21.3694795305,47.4060058594,,,false,Mantella baroni,Baron's Mantella,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,Mantella baroni,
34694,2010-12-05,3184,research,http://www.inaturalist.org/observations/34694,https://static.inaturalist.org/photos/58955/medium.jpg,Found at shoulder height on a mossy trunk at 18:43,"Vohiparara, Ranomafana National Park",-21.2368583987,47.3938071728,,,false,Anodonthyla moramora,,Animalia,Chordata,Amphibia,Anura,Microhylidae,Anodonthyla,Anodonthyla moramora,
34695,2010-12-05,3184,needs_id,http://www.inaturalist.org/observations/34695,https://static.inaturalist.org/photos/58956/medium.jpg,"Found during the day in leaf litter.
","Vohiparara, Ranomafana National Park",-21.2368583987,47.3938071728,,,false,Mantellidae,Mantellas,Animalia,Chordata,Amphibia,Anura,Mantellidae,,,
34696,2010-12-05,3184,needs_id,http://www.inaturalist.org/observations/34696,https://static.inaturalist.org/photos/58957/medium.jpg,Found at night.,"Vohiparara, Ranomafana National Park",-21.2368583987,47.3938071728,,,false,Boophis madagascariensis,Madagascar Bright-eyed Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Boophis,Boophis madagascariensis,
34697,2010-12-05,3184,research,http://www.inaturalist.org/observations/34697,https://static.inaturalist.org/photos/58958/medium.jpg,Found egg guarding during the day on pandanus leaves overhanging running water.,"Vohiparara, Ranomafana National Park",-21.2368583987,47.3938071728,,,false,Mantidactylus majori,Ivohimanita Madagascar Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantidactylus,Mantidactylus majori,
34698,2010-12-05,3184,research,http://www.inaturalist.org/observations/34698,https://static.inaturalist.org/photos/58959/medium.jpg,"","Vohiparara, Ranomafana National Park",-21.2368583987,47.3938071728,,,false,Boophis guibei,Warty Bright-eyed Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Boophis,Boophis guibei,
34699,2010-12-05,3184,needs_id,http://www.inaturalist.org/observations/34699,https://static.inaturalist.org/photos/58960/medium.jpg,"Vocal, found on leaves overhanging running water.","Vohiparara, Ranomafana National Park",-21.2368583987,47.3938071728,,,false,Guibemantis liber,Free Madagascar Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Guibemantis,Guibemantis liber,
34711,2007-01-19,3184,research,http://www.inaturalist.org/observations/34711,https://static.inaturalist.org/photos/58979/medium.jpg,"","Ranomafana, Madagascar",-21.2639085961,47.4172496796,,,false,Gephyromantis tschenki,Tschenk's Madagascar Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Gephyromantis,Gephyromantis tschenki,
